,ticker,company_id,filing_date,time,start_quarter_date,end_quarter_date,group,actual_sales,datetime,estimation
0,TRIP US,464,2011-09-22,0 days 00:00:00.000000000,2011-01-01,2011-03-31,11q1,149222000.0,2001-01-01,0.0
1,TRIP US,464,2011-09-22,0 days 00:00:00.000000000,2011-01-01,2011-03-31,11q2,149222000.0,2012-04-04,0.0
2,TRIP US,464,2012-01-13,0 days 00:00:00.000000000,2011-07-01,2011-09-30,11q3,180801000.0,2012-04-18,181000000.0
3,TRIP US,464,2012-02-08,0 days 17:03:00.000000000,2011-10-01,2011-12-31,11q4,137798000.0,2012-02-07,135091000.0
4,TRIP US,464,2012-05-01,0 days 21:00:00.000000000,2012-01-01,2012-03-31,12q1,183715000.0,2012-05-01,174357000.0
5,TRIP US,464,2012-07-24,0 days 16:02:00.000000000,2012-04-01,2012-06-30,12q2,197148000.0,2012-07-24,203643000.0
6,TRIP US,464,2012-11-01,0 days 16:04:00.000000000,2012-07-01,2012-09-30,12q3,212710000.0,2012-10-31,211294000.0
7,TRIP US,464,2013-02-13,0 days 21:00:00.000000000,2012-10-01,2012-12-31,12q4,169393000.0,2013-02-13,167368000.0
8,TRIP US,464,2013-05-07,0 days 21:00:00.000000000,2013-01-01,2013-03-31,13q1,229919000.0,2013-05-06,224444000.0
9,TRIP US,464,2013-07-24,0 days 16:03:00.000000000,2013-04-01,2013-06-30,13q2,246937000.0,2013-07-24,236650000.0
10,TRIP US,464,2013-10-23,0 days 16:04:00.000000000,2013-07-01,2013-09-30,13q3,255136000.0,2013-10-23,255714000.0
11,TRIP US,464,2014-02-11,0 days 17:02:00.000000000,2013-10-01,2013-12-31,13q4,212669000.0,2014-02-11,205583000.0
12,TRIP US,464,2014-05-06,0 days 21:00:00.000000000,2014-01-01,2014-03-31,14q1,281000000.0,2014-05-06,283375000.0
13,TRIP US,464,2014-07-23,0 days 16:09:00.000000000,2014-04-01,2014-06-30,14q2,323000000.0,2014-07-23,321739000.0
14,TRIP US,464,2014-11-04,0 days 21:00:00.000000000,2014-07-01,2014-09-30,14q3,354000000.0,2014-11-03,348885000.0
15,TRIP US,464,2015-02-11,0 days 17:01:00.000000000,2014-10-01,2014-12-31,14q4,288000000.0,2015-02-10,285120000.0
16,TRIP US,464,2015-05-06,0 days 16:02:00.000000000,2015-01-01,2015-03-31,15q1,363000000.0,2015-05-04,365000000.0
17,TRIP US,464,2015-07-23,0 days 21:00:00.000000000,2015-04-01,2015-06-30,15q2,405000000.0,2015-07-23,413520000.0
18,TRIP US,464,2015-11-05,0 days 17:02:00.000000000,2015-07-01,2015-09-30,15q3,415000000.0,2015-11-03,429375000.0
19,TRIP US,464,2016-02-11,0 days 07:09:00.000000000,2015-10-01,2015-12-31,15q4,309000000.0,2016-02-08,298520000.0
20,TRIP US,464,2016-05-04,0 days 16:03:00.000000000,2016-01-01,2016-03-31,16q1,352000000.0,2016-05-03,370360000.0
21,TRIP US,464,2016-08-03,0 days 21:00:00.000000000,2016-04-01,2016-06-30,16q2,391000000.0,2016-08-02,402652000.0
22,TRIP US,464,2016-11-08,0 days 17:03:00.000000000,2016-07-01,2016-09-30,16q3,421000000.0,2016-11-08,436560000.0
23,TRIP US,464,2017-02-15,0 days 17:01:00.000000000,2016-10-01,2016-12-31,16q4,316000000.0,2017-02-15,327000000.0
24,TRIP US,464,2017-05-09,0 days 16:03:00.000000000,2017-01-01,2017-03-31,17q1,372000000.0,2017-05-08,376217000.0
25,TRIP US,464,2017-08-08,0 days 16:02:00.000000000,2017-04-01,2017-06-30,17q2,424000000.0,2017-08-08,421000000.0
26,TRIP US,464,2017-11-06,0 days 16:02:00.000000000,2017-07-01,2017-09-30,17q3,439000000.0,2017-11-06,451696000.0
27,TRIP US,464,2018-02-14,0 days 16:17:00.000000000,2017-10-01,2017-12-31,17q4,321000000.0,2018-02-14,309739000.0
28,TRIP US,464,2018-05-08,0 days 16:04:00.000000000,2018-01-01,2018-03-31,18q1,378000000.0,2018-05-08,360783000.0
29,TRIP US,464,2018-08-01,0 days 16:03:00.000000000,2018-04-01,2018-06-30,18q2,433000000.0,2018-08-01,434958000.0
30,TRIP US,464,2018-11-07,0 days 16:02:00.000000000,2018-07-01,2018-09-30,18q3,458000000.0,2018-11-07,469417000.0
31,TRIP US,464,2019-02-12,0 days 16:03:00.000000000,2018-10-01,2018-12-31,18q4,346000000.0,2019-02-12,342833000.0
32,TRIP US,464,2019-05-07,0 days 16:03:00.000000000,2019-01-01,2019-03-31,19q1,376000000.0,2019-05-06,387273000.0
33,TRIP US,464,2019-08-07,0 days 16:02:00.000000000,2019-04-01,2019-06-30,19q2,422000000.0,2019-08-06,445826000.0
34,TRIP US,464,2019-11-06,0 days 16:02:00.000000000,2019-07-01,2019-09-30,19q3,428000000.0,2019-11-06,458727000.0
35,TRIP US,464,2020-02-12,0 days 16:03:00.000000000,2019-10-01,2019-12-31,19q4,335000000.0,2020-02-12,334696000.0
